address,chain,name,category,tier,source,added_date,evidence,risk_flags,merge_policy,balance_policy,source_snapshot_at,verified_at,status,raw_labels
0xcded3bb9d2dc98f6e4e772095b48051acfb84df9,eth,KuCoin: KuCoin 56,cex,exclude,dune-cex-addresses,2025-06-14,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x54a679e853281a440911f72eae0e24107e9413dc,base,Bitget: Bitget 33,cex,exclude,dune-cex-addresses,2025-06-27,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xa929022c9107643515f5c777ce9a910f0d1e490c,base,HTX: HTX 69,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xb514c67824443868d3a70352398f524ef6af6207,base,KuCoin: KuCoin 63,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x3a7d1a8c3a8dc9d48a68e628432198a2ead4917c,base,Bitget: Bitget Proxy 1,cex,exclude,dune-cex-addresses,2023-11-22,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x445f16314284b43dfa1fd3cd77b9dea4a1bebd97,base,OKX: OKX 233,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xf332761c673b59b21ff6dfa8ada44d78c12def09,base,OKX: OKX 141,cex,exclude,dune-cex-addresses,2024-05-25,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xd793281182a0e3e023116004778f45c29fc14f19,base,Gate.io: Gate.io Contract,cex,exclude,dune-cex-addresses,2023-02-07,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xe8c15aad9d4cd3f59c9dfa18828b91a8b2c49596,base,KuCoin: KuCoin 62,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xff0a024b66739357c4ed231fb3dbc0c8c22749f5,base,Binance: Binance WRX Proof of Assets,cex,exclude,dune-cex-addresses,2022-11-14,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x1db92e2eebc8e0c075a02bea49a2935bcd2dfcf4,base,Bybit: Bybit 1,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x842ea89f73add9e4fe963ae7929fdc1e80acdb52,base,Bitget: Bitget 13,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xe80623a9d41f2f05780d9cd9cea0f797fd53062a,base,Bitget: Bitget 20,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x0edd5b0de0fe748be331186bf0aa878f47f601db,base,Bitget: Bitget 32,cex,exclude,dune-cex-addresses,2025-06-27,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x72e93123e8b5d168246739cdc45360ea11209364,base,Kraken: Kraken 62,cex,exclude,dune-cex-addresses,2024-10-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x57e2dcd253527a0f70c6a3de3556f6e6e163f19c,base,OKX: OKX 243,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xad354cfbaa4a8572dd6df021514a3931a8329ef5,base,Binance: Binance SingleOwnerMSCA 2,cex,exclude,dune-cex-addresses,2025-07-07,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x3b3ae790df4f312e745d270119c6052904fb6790,base,OKX: OKX DEX Aggregation Router,cex,exclude,dune-cex-addresses,2023-08-31,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x4fabb145d64652a948d72533023f6e7a623c7c53,base,Binance: Binance 62,cex,exclude,dune-cex-addresses,2023-11-22,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x189b24f3eb15dc71b4fc57c5914e7e9b3246e449,base,KuCoin: KuCoin 64,cex,exclude,dune-cex-addresses,2025-07-31,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xcded3bb9d2dc98f6e4e772095b48051acfb84df9,base,KuCoin: KuCoin 56,cex,exclude,dune-cex-addresses,2025-06-14,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x092fe28430bade62c7c044b9c77d0aaa06241319,base,Bitget: Bitget 28,cex,exclude,dune-cex-addresses,2025-06-27,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x4fb312915b779b1339388e14b6d079741ca83128,base,HTX: HTX 60,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x4316e553902c3eab807663001d089fd6554a4566,base,KuCoin: KuCoin Gas Supplier 13,cex,exclude,dune-cex-addresses,2025-06-14,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xc3350595ed42ebe94556277bc77d257c76065291,base,Bybit: Bybit 42,cex,exclude,dune-cex-addresses,2025-08-01,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xe2b406ec9227143a8830229eeb3eb6e24b5c60be,base,Bitget: Bitget 18,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x3cb013f6704eb8e22923f02bb8e7c8d4bd7541cf,base,HTX: HTX Gas Supplier 26,cex,exclude,dune-cex-addresses,2024-10-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xa7a93fd0a276fc1c0197a5b5623ed117786eed06,base,Bybit: Bybit 2,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x9be89d2a4cd102d8fecc6bf9da793be995c22541,base,Binance: Binance ETH and ERC20 tokens Proof of Assets,cex,exclude,dune-cex-addresses,2022-11-14,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xaa99fc695eb1bbfb359fbad718c7c6dafc03a839,base,KuCoin: KuCoin 41,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xe1940f578743367f38d3f25c2d2d32d6636929b6,base,Binance: Binance SingleOwnerMSCA 1,cex,exclude,dune-cex-addresses,2025-07-07,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x446b86a33e2a438f569b15855189e3da28d027ba,base,KuCoin: KuCoin 49,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x59708733fbbf64378d9293ec56b977c011a08fd2,base,Bitget: Bitget 34,cex,exclude,dune-cex-addresses,2025-06-27,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,base,Coinbase: Coinbase 10,cex,exclude,dune-cex-addresses,2022-08-28,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xdbe46a02322e636b92296954637e1d7db9d5ed26,base,Bitget: Bitget 29,cex,exclude,dune-cex-addresses,2025-06-27,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xe6a421f24d330967a3af2f4cdb5c34067e7e4d75,base,Bitget: Bitget 19,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xe1ab8c08294f8ee707d4efa458eab8bbeeb09215,base,Bybit: Bybit 3,cex,exclude,dune-cex-addresses,2023-04-06,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0xd91efec7e42f80156d1d9f660a69847188950747,base,KuCoin: KuCoin 26,cex,exclude,dune-cex-addresses,2024-04-04,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x2cc5146929a893d1d73bc34fb37815cc1a44ae33,base,Coinbase: Coinbase Circle Deposit 1,cex,exclude,dune-cex-addresses,2023-11-19,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x925206b8a707096ed26ae47c84747fe0bb734f59,base,Gate.io: Gate.io 8,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
0x5051e9860c1889eb1bfa394365364b3dd61787f1,base,Bitget: Bitget 11,cex,exclude,dune-cex-addresses,2024-04-20,Dune cex.addresses 快照 2026-08-12; 现库差集回填,,,,2026-08-12,,,
